event,type,red1,red2,red3,redFinal,redFoul,redAuto,redTeleop,blue1,blue2,blue3,blueFinal,blueFoul,blueAuto,blueTeleop
MRCMP,Q,869,1218,2607,139,3,66,30,816,484,1279,44,3,3,18
MDBA,Q,623,3714,2028,52,0,12,30,768,1389,2534,40,0,12,18
MRCMP,Q,4475,3314,3974,126,0,70,36,4575,222,4285,133,3,84,36
MDBA,Q,449,3389,3941,92,0,36,36,3419,375,2638,79,0,45,24
MRCMP,Q,1089,1672,225,95,12,45,28,1391,1626,2559,77,3,36,18
MDBA,Q,45,2528,4464,54,0,12,12,238,53,2912,26,0,6,0
MICMP,Q,4384,2834,862,133,0,75,48,858,2337,4130,105,3,54,18
MICMP,Q,1701,107,245,108,0,68,30,910,1025,280,104,0,50,24
MICMP,Q,3539,70,1684,176,0,114,42,1918,2771,2000,185,0,89,66
MICMP,Q,2145,326,3641,140,3,93,24,2960,3234,2767,131,0,69,42
MICMP,Q,2673,4391,503,171,0,111,30,51,4325,469,190,0,110,60
MICMP,Q,2611,1504,858,127,0,65,42,33,548,4130,143,0,75,48
MRCMP,Q,2590,357,1143,96,0,38,38,103,4342,56,134,0,56,48
MICMP,Q,3421,3604,123,106,0,60,36,2054,1023,217,147,0,53,54
MRCMP,Q,223,303,2729,135,18,49,48,486,1881,1676,130,3,71,36
MDBA,Q,3373,1559,1885,62,0,6,36,4122,2641,329,66,0,36,30
MICMP,Q,3414,2851,1189,171,0,93,48,3688,4377,573,108,0,68,30
MDBA,Q,3283,4099,2421,10,0,0,0,2377,2866,3455,108,40,18,30
MRCMP,Q,1228,11,1923,130,0,72,48,316,2495,4460,100,0,52,28
MICMP,Q,862,3572,494,181,3,84,54,2959,2612,1718,186,0,102,54
MDBA,Q,3650,768,2546,29,0,3,26,1699,686,4638,38,0,24,14
MICMP,Q,4384,2337,4381,120,0,42,48,3656,2474,3602,158,3,63,72
MRCMP,Q,224,433,272,73,0,15,28,1302,1403,293,102,3,21,48
MDBA,Q,3748,4050,3150,48,20,6,12,2638,2963,87,78,0,38,30
MICMP,Q,67,2619,857,166,3,69,44,3618,68,314,146,0,96,30
MRCMP,Q,193,1370,2539,147,0,81,36,75,2607,3340,100,0,28,22
MDBA,Q,365,2028,1111,85,0,33,42,2528,4541,1895,64,0,12,12
MICMP,Q,2771,2137,27,158,0,84,54,4130,141,2834,120,0,48,42
MRCMP,Q,1672,2559,714,67,3,12,22,56,484,1640,100,3,57,30
MDBA,Q,375,329,888,84,0,54,30,623,45,2199,39,0,11,18
